,Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Attrition,Gender,OverTime,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
23,21,391,15,2,24,3,96,3,1,4,19281,1,14,4,0,6,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,34,699,6,1,25,2,83,3,1,1,17102,2,11,3,0,2,3,4,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,53,1282,5,3,26,3,58,3,5,3,10735,4,11,4,1,3,2,14,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26,32,1125,16,1,27,2,72,1,1,1,4681,1,22,2,0,5,3,10,6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,42,691,8,4,28,3,48,3,2,2,21173,0,11,4,1,2,3,9,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
28,44,477,7,4,29,1,42,2,3,4,2094,3,14,4,1,4,3,22,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,46,705,2,4,30,2,83,3,5,1,22822,3,12,4,0,2,2,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
30,33,924,2,3,31,3,78,3,1,4,6670,4,11,4,0,3,3,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31,44,1459,10,4,32,4,41,3,2,4,19121,2,13,4,0,5,4,4,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,30,125,9,2,33,4,83,2,1,3,16117,1,13,1,0,5,3,10,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33,39,895,5,3,34,4,56,3,2,4,3335,3,14,3,1,6,4,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
34,24,813,1,3,35,2,61,3,1,4,3020,2,16,1,1,2,2,2,2,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
35,43,1273,2,2,36,4,72,4,1,3,21923,1,12,4,2,3,2,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,50,869,3,2,37,1,86,2,1,3,3810,1,14,3,0,2,3,3,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
37,35,890,2,3,38,4,97,3,1,4,9687,1,13,1,0,3,3,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
38,36,852,5,4,39,2,82,2,1,1,13072,9,14,4,1,3,4,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,33,1141,1,3,40,3,42,4,2,1,3193,2,19,1,2,3,3,5,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,35,464,4,2,41,3,75,3,1,4,10910,1,12,3,1,3,3,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
41,27,1240,2,4,42,4,33,3,1,1,19715,1,13,4,1,6,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,26,1357,25,3,43,1,48,1,1,3,10558,1,12,3,0,2,2,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,27,994,8,3,44,4,37,3,3,3,2975,1,15,4,0,0,3,9,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,30,721,1,2,45,3,58,3,2,4,10781,1,23,4,0,2,3,12,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
45,41,1360,12,3,46,2,49,3,5,3,16280,1,12,4,0,0,3,22,15,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
46,34,1065,23,4,47,2,72,3,2,3,10034,0,20,3,0,2,3,9,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
47,37,408,19,2,48,2,73,3,1,2,10227,4,21,1,0,1,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
48,46,1211,5,4,49,1,98,3,2,4,20445,4,21,3,0,4,3,9,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
49,35,1229,8,1,50,4,36,4,1,4,4892,1,19,4,0,2,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50,48,626,1,2,51,1,98,2,3,3,19294,9,13,4,0,2,3,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,28,1434,5,4,52,3,50,3,1,3,11179,1,13,3,0,3,2,2,2,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
52,44,1488,1,5,53,2,75,3,2,1,4009,5,21,3,1,2,2,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,35,1097,11,2,54,3,79,2,3,1,8302,2,13,3,1,3,3,4,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,26,1443,23,3,55,3,47,2,2,4,21436,7,19,3,1,2,2,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
55,33,515,1,2,56,1,98,3,3,4,15146,1,12,3,0,1,3,15,8,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
56,35,853,18,5,57,2,71,3,3,1,11031,1,22,4,1,3,2,9,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
57,35,1142,23,4,58,3,30,3,1,1,16002,3,15,3,1,3,3,2,2,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
58,31,655,7,4,59,4,48,3,2,4,9528,3,22,4,1,3,2,7,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,37,1115,1,4,60,1,51,2,2,3,2689,1,18,3,1,2,4,7,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,32,427,1,3,61,1,33,3,2,4,10877,1,22,2,1,3,3,9,7,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
61,38,653,29,5,62,4,50,3,2,4,5456,1,11,4,0,2,3,10,9,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,50,989,7,2,63,2,43,2,5,3,16701,5,12,4,1,2,2,27,13,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
63,59,1435,25,3,64,1,99,3,3,1,2354,7,11,4,0,3,2,21,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64,36,1223,8,3,65,3,59,3,3,3,8202,1,13,2,3,2,3,17,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,55,836,8,3,66,4,33,3,4,3,19730,2,14,3,3,2,3,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66,36,1195,11,3,67,2,95,2,2,2,22656,1,13,3,0,3,3,6,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,45,1339,7,3,68,2,59,3,3,1,18787,2,17,3,1,2,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,35,664,1,3,69,2,79,3,1,1,5868,4,13,4,1,2,2,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
69,36,318,9,3,70,4,79,2,1,3,21777,0,17,1,1,0,2,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
70,59,1225,1,1,71,1,57,2,2,3,24668,7,11,4,0,2,2,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
71,29,1328,2,3,72,3,76,3,1,2,4956,0,23,4,1,3,3,5,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
72,31,1082,1,4,73,3,87,3,1,2,18775,1,17,2,0,4,3,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
73,32,548,1,3,74,2,66,3,2,2,7346,1,17,2,2,3,3,10,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
74,36,132,6,3,75,2,55,4,1,4,22002,3,12,2,0,3,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,31,746,8,4,76,3,61,3,2,4,20682,1,23,4,0,2,3,11,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
76,35,776,1,4,77,3,32,2,2,1,23016,0,14,2,0,2,3,15,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
77,45,193,6,4,78,4,52,3,3,1,15067,4,14,2,0,3,4,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
78,37,397,7,4,79,1,30,3,3,3,25258,4,13,1,0,3,4,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
79,46,945,5,2,80,2,80,3,2,2,10425,8,22,4,1,2,3,4,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
80,30,852,1,1,81,4,55,2,2,4,15998,1,12,3,2,1,2,10,3,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
81,35,1214,1,3,82,2,30,2,1,3,26278,1,18,1,0,3,3,6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
82,55,111,1,2,83,1,70,3,3,4,18092,3,14,4,1,4,3,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
83,38,573,6,3,84,2,79,1,2,4,15717,7,12,4,3,3,3,13,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
84,34,1153,1,2,85,1,94,3,2,2,17736,1,15,3,0,2,3,5,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
85,56,1400,7,3,86,4,49,1,3,4,21698,4,11,1,0,3,2,6,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
86,23,541,2,1,87,3,62,3,1,1,9518,3,13,3,1,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,51,432,9,4,88,4,96,3,1,4,18725,3,23,2,2,4,3,4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,30,288,2,3,89,3,99,2,2,4,15830,1,19,1,3,3,3,11,10,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,46,669,9,2,90,3,64,2,3,4,13596,1,16,4,0,3,3,9,4,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
90,40,530,1,4,91,3,78,2,4,2,14115,1,22,4,1,3,2,22,11,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,51,632,21,4,92,3,71,3,2,4,8423,0,22,4,0,2,1,10,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
92,30,1334,4,2,93,3,63,2,2,2,19760,1,12,2,3,4,2,11,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93,46,638,1,3,94,3,40,2,3,1,3142,2,13,3,1,5,2,10,9,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
94,32,1093,6,4,95,2,87,3,2,3,24301,1,16,1,0,0,3,11,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
95,54,1217,2,4,96,1,60,3,3,3,24001,9,12,1,1,5,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
96,24,1353,3,2,97,1,33,3,2,3,17519,0,21,1,1,2,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
97,28,120,4,3,98,2,43,3,2,3,8863,1,15,2,0,3,4,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
98,58,682,10,4,99,4,37,3,4,3,24409,0,13,3,0,1,2,37,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
99,44,489,23,3,100,2,67,3,2,2,25043,4,12,3,1,3,4,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100,37,807,6,4,101,3,63,3,1,1,23648,4,22,4,0,3,3,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,32,827,1,1,102,4,71,3,1,1,15178,1,13,4,0,2,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,20,871,6,3,103,4,66,2,1,4,19783,1,18,2,0,5,3,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
103,34,665,6,4,104,1,41,3,2,3,12482,1,14,3,0,3,3,16,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
104,37,1040,2,2,105,3,100,2,2,4,15850,5,14,4,1,2,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,59,1420,2,4,106,3,32,2,5,4,21922,9,21,4,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
106,50,1115,1,3,107,1,73,3,5,2,9755,3,19,1,0,1,2,8,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
107,25,240,5,3,108,3,46,2,2,3,26959,1,11,4,0,1,3,6,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
108,25,1280,7,1,109,4,64,2,1,4,26897,1,11,3,2,2,3,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
109,22,534,15,3,110,2,59,3,1,4,23785,1,15,3,0,5,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
110,51,1456,1,4,111,1,30,2,3,1,25796,3,20,3,0,1,2,13,12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
111,34,658,7,3,112,1,66,1,2,3,22887,1,24,4,0,3,3,9,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
112,54,142,26,3,113,4,30,4,4,4,13871,2,12,3,0,3,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113,24,1127,18,1,114,2,52,3,1,3,13257,0,12,3,1,2,3,5,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114,34,1031,6,4,115,3,45,2,2,2,15000,6,15,3,1,3,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,37,1189,3,3,116,3,87,3,3,4,14506,2,12,1,0,3,3,5,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
116,34,1354,5,3,117,3,45,2,3,1,5615,2,12,4,0,6,3,11,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
117,36,1467,11,2,118,2,92,3,3,4,22952,0,14,3,1,6,3,9,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
118,36,922,3,2,119,1,39,3,1,4,2561,5,22,1,1,2,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,43,394,26,2,120,3,92,3,4,4,19494,1,12,4,2,3,4,25,4,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
120,30,1312,23,3,121,1,96,1,1,3,22310,1,25,3,3,2,2,10,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,33,750,22,2,122,3,95,3,2,2,15480,0,13,1,1,2,4,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
122,56,441,14,4,123,2,72,3,1,2,4510,9,18,1,3,2,3,5,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
123,51,684,6,3,124,1,51,3,5,3,6462,7,13,3,0,5,3,20,15,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
124,31,249,6,4,125,2,76,1,2,3,20739,4,18,2,0,3,2,7,7,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
125,26,841,6,3,126,3,46,2,1,2,23300,1,19,3,0,3,2,5,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
126,58,147,23,4,127,4,94,3,3,4,3465,1,12,4,1,3,2,40,15,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,19,528,22,1,128,4,50,3,1,3,26820,1,19,4,0,2,2,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
128,22,594,2,1,129,3,100,3,1,4,19299,0,14,3,1,2,3,2,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
129,49,470,20,4,130,3,96,3,2,1,5549,1,14,3,0,2,2,15,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
130,43,957,28,3,131,2,72,4,1,3,16090,4,12,4,0,2,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
131,50,809,12,3,132,3,77,3,3,4,6645,4,11,4,0,3,3,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
132,31,542,20,3,133,2,71,1,2,3,24788,3,11,3,1,2,3,2,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
133,41,802,9,1,134,3,96,3,3,3,21196,3,13,3,1,2,3,9,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,26,1355,25,1,135,3,61,3,1,3,8916,1,23,4,1,3,3,8,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
135,36,216,6,2,136,2,84,3,2,2,2819,6,20,4,2,0,3,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
136,51,1150,8,4,137,1,53,1,3,4,25150,2,15,4,0,2,3,4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
137,39,1329,4,4,138,4,47,2,2,3,14590,4,14,3,1,1,4,15,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
138,25,959,28,3,139,1,41,2,2,3,24835,2,18,4,0,3,3,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
139,30,1240,9,3,140,3,48,3,2,4,13982,0,19,4,0,2,1,11,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
140,32,1033,9,3,141,1,41,3,1,1,10224,7,22,1,0,2,4,5,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
141,45,1316,29,3,142,3,83,3,1,4,9752,5,13,2,0,2,2,6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
142,38,364,3,5,143,4,32,3,2,3,2302,3,20,2,0,2,3,3,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
143,30,438,18,3,144,1,75,3,1,3,23910,1,14,3,0,4,2,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
144,32,689,9,2,145,4,35,1,2,4,22812,0,17,4,3,2,4,8,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
145,30,201,5,3,146,4,84,3,1,1,10415,5,14,4,1,3,3,3,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
146,30,1427,2,1,147,2,35,2,1,4,11162,0,13,4,0,3,3,5,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
147,41,857,10,3,148,4,91,2,4,1,12888,4,13,2,1,2,2,7,7,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,41,933,9,4,149,3,94,3,1,1,6961,2,21,4,1,2,3,5,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
149,19,1181,3,1,150,2,79,3,1,2,16102,1,14,4,0,3,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
150,40,1395,26,3,151,2,54,3,2,2,8504,1,11,1,1,2,3,20,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
151,35,662,1,5,152,3,94,3,3,2,11439,1,13,1,2,3,3,10,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
152,53,1436,6,2,153,2,34,3,2,3,16047,2,20,4,1,3,1,7,4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
153,45,194,9,3,154,2,60,3,2,2,10901,8,18,3,1,2,1,17,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
